Ticks,Toxic,Mimics,Harmless,Hawks,RelativeToxic,RelativeMimics,RelativeHarmless,LearnedAvoidance,LearningSens,AvgToxicity,AvgMimicry
0,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
1,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.44295106735886514,0.6113668781296766
2,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.4429510673588651,0.6113668781296766
3,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
4,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.44295106735886514,0.6113668781296766
5,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.4429510673588651,0.6113668781296766
6,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044185,0.4429510673588651,0.6113668781296766
7,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044185,0.442951067358865,0.6113668781296766
8,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.4429510673588651,0.6113668781296766
9,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.44295106735886514,0.6113668781296765
10,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044185,0.442951067358865,0.6113668781296766
11,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
12,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
13,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296766
14,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.4429510673588651,0.6113668781296765
15,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.44295106735886514,0.6113668781296766
16,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296766
17,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
18,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296766
19,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
20,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
21,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296766
22,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
23,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296766
24,14,8,28,10,28.000000000000004,16,56.00000000000001,0,0.5074067282044183,0.442951067358865,0.6113668781296765
25,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.4199109757831407E-4,0.5074067282044183,0.46909255507961434,0.6113668781296766
26,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.416491064807357E-4,0.5074067282044183,0.4690925550796142,0.6113668781296765
27,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.41307457374255E-4,0.5074067282044183,0.4690925550796142,0.6113668781296766
28,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.409661499168807E-4,0.5074067282044183,0.4690925550796142,0.6113668781296765
29,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.406251837669639E-4,0.5074067282044185,0.4690925550796142,0.6113668781296766
30,13,8,28,10,26.53061224489796,16.3265306122449,57.14285714285714,3.402845585831969E-4,0.5074067282044183,0.46909255507961434,0.6113668781296765
31,13,7,27,10,27.659574468085108,14.893617021276595,57.446808510638306,3.399442740246137E-4,0.5074067282044185,0.46909255507961434,0.5723950974968842
32,13,7,27,10,27.659574468085108,14.893617021276595,57.446808510638306,3.396043297505891E-4,0.5074067282044183,0.4690925550796142,0.5723950974968843
33,13,7,27,10,27.659574468085108,14.893617021276595,57.446808510638306,3.392647254208385E-4,0.5074067282044183,0.4690925550796142,0.5723950974968842
34,13,7,27,10,27.659574468085108,14.893617021276595,57.446808510638306,3.389254606954177E-4,0.5074067282044183,0.4690925550796142,0.5723950974968842
35,13,7,27,10,27.659574468085108,14.893617021276595,57.446808510638306,3.3858653523472225E-4,0.5074067282044183,0.46909255507961434,0.5723950974968842
36,13,7,26,10,28.26086956521739,15.217391304347828,56.52173913043478,3.3824794869948753E-4,0.5074067282044183,0.4690925550796142,0.5723950974968842
37,13,7,26,10,28.26086956521739,15.217391304347828,56.52173913043478,3.37909700750788E-4,0.5074067282044185,0.46909255507961417,0.5723950974968842
38,13,7,26,10,28.26086956521739,15.217391304347828,56.52173913043478,3.3757179105003727E-4,0.5074067282044185,0.4690925550796142,0.5723950974968843
39,13,7,26,10,28.26086956521739,15.217391304347828,56.52173913043478,3.372342192589872E-4,0.5074067282044183,0.4690925550796142,0.5723950974968842
40,12,7,26,10,26.666666666666668,15.555555555555555,57.77777777777777,0.0015681527538479911,0.5074067282044183,0.48096005979223255,0.5723950974968842
41,12,7,26,10,26.666666666666668,15.555555555555555,57.77777777777777,0.0015665846010941432,0.5074067282044183,0.48096005979223255,0.5723950974968842
42,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.001565018016493049,0.5074067282044183,0.4809600597922326,0.5723950974968843
43,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.001563452998476556,0.5074067282044183,0.48096005979223255,0.5723950974968843
44,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.0015618895454780793,0.5074067282044183,0.48096005979223255,0.5723950974968843
45,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.0015603276559326014,0.5074067282044185,0.48096005979223255,0.5723950974968843
46,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.0015587673282766688,0.5074067282044183,0.4809600597922326,0.5723950974968842
47,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.0015572085609483921,0.5074067282044185,0.48096005979223255,0.5723950974968843
48,12,7,25,10,27.27272727272727,15.909090909090908,56.81818181818182,0.0015556513523874436,0.5074067282044183,0.48096005979223255,0.5723950974968843
49,11,7,24,10,26.190476190476193,16.666666666666664,57.14285714285714,0.028534171984736078,0.5074067282044185,0.43958286632982746,0.5723950974968842
50,11,7,23,10,26.82926829268293,17.073170731707318,56.09756097560976,0.028505637812751346,0.5074067282044183,0.43958286632982746,0.5723950974968842
51,11,7,23,10,26.82926829268293,17.073170731707318,56.09756097560976,0.02847713217493859,0.5074067282044185,0.43958286632982746,0.5723950974968842
52,11,7,23,10,26.82926829268293,17.073170731707318,56.09756097560976,0.028448655042763654,0.5074067282044183,0.4395828663298273,0.5723950974968842
53,11,7,23,10,26.82926829268293,17.073170731707318,56.09756097560976,0.028420206387720887,0.5074067282044183,0.43958286632982746,0.5723950974968842
